#1
double ashland(8897,9)
#epoch	irradiance_global	irradiance_direct	irradiance_diffuse	irradiance_poa	power_dc_system_1	power_dc_system_2	wind_speed	temperature_ambient
970383900	0	0	0	0	0	0	0.0	14.3
970384200	0	0	0	0	0	0	0.0	14.2
970384500	0	0	0	0	0	0	0.0	14.1
970384800	0	0	0	0	0	0	0.0	14.1
970385100	0	0	0	0	0	0	0.0	14.0
970385400	0	0	0	0	0	0	0.0	13.9
970385700	0	0	0	0	0	0	0.0	13.7
970386000	0	0	0	0	0	0	0.0	13.6
970386300	0	0	0	0	0	0	0.0	13.6
970386600	0	0	0	0	0	0	0.0	13.9
970386900	0	0	0	0	0	0	0.0	13.8
970387200	0	0	0	0	0	0	0.0	13.6
970387500	0	0	0	0	0	0	0.0	13.4
970387800	0	0	0	0	0	0	0.0	13.1
970388100	0	0	0	0	0	0	0.0	13.1
970388400	0	0	0	0	0	0	0.0	13.1
970388700	0	0	0	0	0	0	0.0	13.3
970389000	0	0	0	0	0	0	0.0	13.8
970389300	0	0	0	0	0	0	0.1	14.1
970389600	0	0	0	0	0	0	0.0	14.1
970389900	0	0	0	0	0	0	0.0	13.9
970390200	0	0	0	0	0	0	0.0	13.9
970390500	0	0	0	0	0	0	0.0	13.5
970390800	0	0	0	0	0	0	0.0	13.3
970391100	0	0	0	0	0	0	0.0	13.0
970391400	0	0	0	0	0	0	0.0	12.9
970391700	0	0	0	0	0	0	0.0	13.1
970392000	0	0	0	0	0	0	0.0	13.0
970392300	0	0	0	0	0	0	0.0	12.7
970392600	0	0	0	0	0	0	0.0	12.7
970392900	0	0	0	0	0	0	0.0	12.5
970393200	0	0	0	0	0	0	0.0	12.4
970393500	0	0	0	0	0	0	0.0	12.4
970393800	0	0	0	0	0	0	0.0	12.4
970394100	0	0	0	0	0	0	0.0	12.5
970394400	0	0	0	0	0	0	0.0	12.4
970394700	0	0	0	0	0	0	0.0	12.7
970395000	0	0	0	0	0	0	0.0	13.1
970395300	0	0	0	0	0	0	0.1	13.5
970395600	0	0	0	0	0	0	0.1	13.9
970395900	0	0	0	0	0	0	0.2	14.5
970396200	0	0	0	0	0	0	0.0	14.8
970396500	0	0	0	0	0	0	0.1	14.4
970396800	0	0	0	0	0	0	0.0	13.6
970397100	0	0	0	0	0	0	0.0	13.2
970397400	0	0	0	0	0	0	0.0	13.0
970397700	0	0	0	0	0	0	0.0	13.0
970398000	0	0	0	0	0	0	0.0	13.3
970398300	0	0	0	0	0	0	0.0	13.3
970398600	0	0	0	0	0	0	0.0	13.4
970398900	0	0	0	0	0	0	0.0	13.5
970399200	0	0	0	0	0	0	0.0	13.6
970399500	0	0	0	0	0	0	0.0	13.9
970399800	0	0	0	0	0	0	0.0	14.1
