#1
double swsls(384,2)
#epoch	power
1550707200	0
1550708100	0
1550709000	0
1550709900	0
1550710800	0
1550711700	0
1550712600	0
1550713500	0
1550714400	0
1550715300	0
1550716200	0
1550717100	0
1550718000	0
1550718900	0
1550719800	0
1550720700	0
1550721600	0
1550722500	0
1550723400	0
1550724300	0
1550725200	0
1550726100	0
1550727000	0
1550727900	0
1550728800	0
1550729700	0
1550730600	0
1550731500	0
1550732400	500
1550733300	900
1550734200	1500
1550735100	2000
1550736000	3100
1550736900	4100
1550737800	5200
1550738700	7700
1550739600	10700
1550740500	8300
1550741400	15600
1550742300	8900
1550743200	5000
1550744100	13600
1550745000	20800
1550745900	19400
1550746800	20200
1550747700	18800
1550748600	20500
1550749500	25000
1550750400	25600
1550751300	25700
1550752200	26000
1550753100	25100
1550754000	15500
1550754900	21800
1550755800	29000
1550756700	23600
1550757600	8300
1550758500	17900
1550759400	17400
1550760300	10600
1550761200	11600
1550762100	6400
1550763000	7000
1550763900	12600
1550764800	8100
1550765700	5300
1550766600	2800
1550767500	1300
1550768400	500
1550769300	0
1550770200	0
1550771100	0
1550772000	0
1550772900	0
1550773800	0
1550774700	0
1550775600	0
1550776500	0
1550777400	0
1550778300	0
1550779200	0
1550780100	0
1550781000	0
1550781900	0
1550782800	0
1550783700	0
1550784600	0
1550785500	0
1550786400	0
1550787300	0
1550788200	0
1550789100	0
1550790000	0
1550790900	0
1550791800	0
1550792700	0
1550793600	0
1550794500	0
1550795400	0
1550796300	0
1550797200	0
1550798100	0
1550799000	0
1550799900	0
1550800800	0
1550801700	0
1550802600	0
1550803500	0
1550804400	0
1550805300	0
1550806200	0
1550807100	0
1550808000	0
1550808900	0
1550809800	0
1550810700	0
1550811600	0
1550812500	0
1550813400	0
1550814300	0
1550815200	0
1550816100	0
1550817000	0
1550817900	200
1550818800	600
1550819700	600
1550820600	600
1550821500	1500
1550822400	1500
1550823300	2100
1550824200	3400
1550825100	3300
1550826000	3000
1550826900	4000
